"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 07 20:01:18 IST 2021","Fri May 07 20:01:18 IST 2021","1","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to see the homepage","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to see the homepage","Hook","Hook",""
"passed","Fri May 07 20:01:47 IST 2021","Fri May 07 20:02:01 IST 2021","14159","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the app","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the app","When I select the existing community","When I select the existing community",""
"passed","Fri May 07 20:02:31 IST 2021","Fri May 07 20:02:31 IST 2021","1","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the app","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the app","Hook","Hook",""
"passed","Fri May 07 20:01:39 IST 2021","Fri May 07 20:01:46 IST 2021","7183","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","Then I should be on community selection page","Then I should be on community selection page",""
"passed","Fri May 07 20:01:25 IST 2021","Fri May 07 20:01:39 IST 2021","13800","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","And I enter otp","And I enter otp",""
"passed","Fri May 07 20:01:16 IST 2021","Fri May 07 20:01:18 IST 2021","2118","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to see the homepage","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to see the homepage","Then I should be landed on homepage","Then I should be landed on homepage",""
"passed","Fri May 07 20:01:18 IST 2021","Fri May 07 20:01:25 IST 2021","7327","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","When I enter email id in existing_user_format","When I enter email id in existing_user_format",""
"passed","Fri May 07 20:02:01 IST 2021","Fri May 07 20:02:31 IST 2021","29906","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the app","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the app","Then I should be able to navigate to the app homepage","Then I should be able to navigate to the app homepage",""
"passed","Fri May 07 20:01:06 IST 2021","Fri May 07 20:01:16 IST 2021","9885","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to see the homepage","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to see the homepage","Given I launches the app","Given I launches the app",""
"passed","Fri May 07 20:01:46 IST 2021","Fri May 07 20:01:46 IST 2021","2","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","","Vyoo App - Onboarding journeys for existing user: As an existing user, I should be able to navigate to the community selection page","Hook","Hook",""
